,,telegraaf
aanhangers,afgaan,-0.06126117042522454
aanhangers,afghanen,0.6742561319549794
aanhangers,allochtonen,0.4454879602078019
aanhangers,allochtoon,0.12873108592159735
aanhangers,antilliaan,0.3471348440869115
aanhangers,antillianen,0.5187721387452598
aanhangers,arabier,0.2585529909453552
aanhangers,arabieren,0.734992127996257
aanhangers,belg,0.13718318487390532
aanhangers,belgen,0.5532798648650743
aanhangers,christen,0.38293420850180804
aanhangers,christenen,0.7424773378702039
aanhangers,duitser,0.18134100528192937
aanhangers,duitsers,0.5444153385974562
aanhangers,expat,0.0071829412458692815
aanhangers,expats,0.43912315793201856
aanhangers,immigrant,0.300174517034521
aanhangers,immigranten,0.6635279283941375
aanhangers,irakees,0.31765200778922853
aanhangers,irakezen,0.745420344321313
aanhangers,marokkaan,0.30411003319886076
aanhangers,marokkanen,0.6146744942707474
aanhangers,migrant,0.16021602894087056
aanhangers,migranten,0.5810765475689587
aanhangers,moslim,0.5016266639729101
aanhangers,moslims,0.7442409796046778
aanhangers,nederlander,0.13178838670671938
aanhangers,nederlanders,0.5093561342256132
aanhangers,somalier,0.2361309410338757
aanhangers,somaliers,0.17900491051303827
aanhangers,surinamer,0.22495948964613932
aanhangers,surinamers,0.523915541780238
aanhangers,syrier,0.32867899084619323
aanhangers,syriers,0.2913697936126615
aanhangers,turk,0.3287731691325428
aanhangers,turken,0.7124900245600715
aanhangers,vluchteling,0.3807567228092559
aanhangers,vluchtelingen,0.6595848286211714
aanhangers,westers,0.03712790695579337
afperser,afgaan,0.032616141879104193
afperser,afghanen,0.25959225087335436
afperser,allochtonen,0.0591718074033687
afperser,allochtoon,0.3591838326530673
afperser,antilliaan,0.7193806168291771
afperser,antillianen,0.31712189847431704
afperser,arabier,0.6904709081396805
afperser,arabieren,0.2305144647329712
afperser,belg,0.5237991894300702
afperser,belgen,0.12151656699561994
afperser,christen,0.3013140752042453
afperser,christenen,0.24325624252253347
afperser,duitser,0.5014320256073599
afperser,duitsers,0.12682336993664728
afperser,expat,0.5227376352677037
afperser,expats,0.1995392168316804
afperser,immigrant,0.6226103999074211
afperser,immigranten,0.19596447576107737
afperser,irakees,0.6988006539263505
afperser,irakezen,0.27966846201997436
afperser,marokkaan,0.6836201071704102
afperser,marokkanen,0.2698044483964872
afperser,migrant,0.5257685507599805
afperser,migranten,0.09358096871356493
afperser,moslim,0.45636895657333826
afperser,moslims,0.18124801290519832
afperser,nederlander,0.407426817671913
afperser,nederlanders,0.11272516218818537
afperser,somalier,0.6837780440821977
afperser,somaliers,0.41970636802216466
afperser,surinamer,0.7432104377859741
afperser,surinamers,0.2504347850215368
afperser,syrier,0.6825586631808515
afperser,syriers,0.500891884703236
afperser,turk,0.7224287785604195
afperser,turken,0.16727444258415586
afperser,vluchteling,0.5265884328477138
afperser,vluchtelingen,0.15230222139410424
afperser,westers,0.20847334787361682
agente,afgaan,0.06314708733334737
agente,afghanen,0.1514127724255441
agente,allochtonen,-0.07164590552377664
agente,allochtoon,0.21441772320977845
agente,antilliaan,0.7326975367958619
agente,antillianen,0.19700165038904516
agente,arabier,0.6105048070909873
agente,arabieren,0.08064073089942156
agente,belg,0.4590490880167678
agente,belgen,0.005701962334300877
agente,christen,0.231487242036019
agente,christenen,0.14727423844307194
agente,duitser,0.5229423072946409
agente,duitsers,0.0603515831702111
agente,expat,0.3443102080538235
agente,expats,-0.032450281145238985
agente,immigrant,0.6136973698790473
agente,immigranten,0.15212646305810915
agente,irakees,0.7822245937450775
agente,irakezen,0.29691760235869447
agente,marokkaan,0.7352036049016528
agente,marokkanen,0.1968634152932487
agente,migrant,0.4579498733875457
agente,migranten,-0.05006894000055288
agente,moslim,0.45745522629299545
agente,moslims,0.13840370821213466
agente,nederlander,0.4103441245686292
agente,nederlanders,0.036301552567521184
agente,somalier,0.5353953231814734
agente,somaliers,0.24365702637259248
agente,surinamer,0.7100039762913599
agente,surinamers,0.11991910784987192
agente,syrier,0.5414763984805823
agente,syriers,0.36006096404384547
agente,turk,0.7357063938813158
agente,turken,0.09140957792724921
agente,vluchteling,0.4138413230649948
agente,vluchtelingen,0.07398746950168619
agente,westers,0.14494472159036925
arrestant,afgaan,0.012967940123195118
arrestant,afghanen,0.1377287942466969
arrestant,allochtonen,-0.04269867402167146
arrestant,allochtoon,0.26159176873001233
arrestant,antilliaan,0.762311773563445
arrestant,antillianen,0.18035192406016143
arrestant,arabier,0.7287221994292807
arrestant,arabieren,0.1437612042302068
