,,telegraaf
academici,afgaan,0.04619380367208533
academici,afghanen,0.6525721795395011
academici,allochtonen,0.6139731597283558
academici,allochtoon,0.3451496736401012
academici,antilliaan,0.2765662304726664
academici,antillianen,0.7455651754863317
academici,arabier,0.33931264850049225
academici,arabieren,0.5971194787282608
academici,belg,-0.005327046735419255
academici,belgen,0.40233673607556175
academici,christen,0.29430061719943124
academici,christenen,0.5561692199000744
academici,duitser,0.02826199903232753
academici,duitsers,0.3248114455272263
academici,expat,0.3922434485403345
academici,expats,0.7280771532010657
academici,immigrant,0.40982049051327024
academici,immigranten,0.5405395262207112
academici,irakees,0.3496446650135203
academici,irakezen,0.5394850965559477
academici,marokkaan,0.21209259369011246
academici,marokkanen,0.6642935541924233
academici,migrant,0.33225868935958436
academici,migranten,0.5222212151208878
academici,moslim,0.3543033804825133
academici,moslims,0.5030995693973823
academici,nederlander,0.030094463691372766
academici,nederlanders,0.44658070576500697
academici,somalier,0.3521700853954982
academici,somaliers,0.4900300970211732
academici,surinamer,0.32994799190186624
academici,surinamers,0.7618043814371789
academici,syrier,0.3537244930331417
academici,syriers,0.5307344236741396
academici,turk,0.30959398690264395
academici,turken,0.5311350117533391
academici,vluchteling,0.3117612472309645
academici,vluchtelingen,0.4300099894081017
academici,westers,0.1818826587389116
adellijk,afgaan,-0.019137428744085215
adellijk,afghanen,-0.015022900463762881
adellijk,allochtonen,-0.057524495117249934
adellijk,allochtoon,0.2999271509514994
adellijk,antilliaan,0.36520101805626914
adellijk,antillianen,0.11067494416583866
adellijk,arabier,0.5796181544867227
adellijk,arabieren,0.03282535098161321
adellijk,belg,0.06582647747587356
adellijk,belgen,-0.15755259245170503
adellijk,christen,0.055202301555506095
adellijk,christenen,0.07916620766330168
adellijk,duitser,0.14289688596709266
adellijk,duitsers,-0.09479038486420259
adellijk,expat,0.5725127238335147
adellijk,expats,0.05868182947932104
adellijk,immigrant,0.45224958131132303
adellijk,immigranten,0.03179631537490556
adellijk,irakees,0.47433943941593193
adellijk,irakezen,-0.019111584310839327
adellijk,marokkaan,0.27862132329325123
adellijk,marokkanen,0.020609956789948577
adellijk,migrant,0.42568933440132706
adellijk,migranten,-0.027618142278373958
adellijk,moslim,0.2064834950573905
adellijk,moslims,-0.020402862036827337
adellijk,nederlander,0.0894672742106379
adellijk,nederlanders,-0.11667174663928691
adellijk,somalier,0.5622095548832897
adellijk,somaliers,0.5378524157441598
adellijk,surinamer,0.46328139832588916
adellijk,surinamers,0.15082487965900152
adellijk,syrier,0.4979326330145729
adellijk,syriers,0.5083562125084435
adellijk,turk,0.3782021885103334
adellijk,turken,-0.082525471985782
adellijk,vluchteling,0.38954001342619504
adellijk,vluchtelingen,-0.06102083292073352
adellijk,westers,0.5593315713165183
edelman,afgaan,-0.12891085413059886
edelman,afghanen,0.17936614867584705
edelman,allochtonen,0.043419120564353215
edelman,allochtoon,0.2099990248887959
edelman,antilliaan,0.7410333056102885
edelman,antillianen,0.23077322681074858
edelman,arabier,0.727640665204906
edelman,arabieren,0.24200604946398174
edelman,belg,0.4531091032030037
edelman,belgen,0.09768642951393343
edelman,christen,0.27864698103924357
edelman,christenen,0.23319655095419234
edelman,duitser,0.5308805812923536
edelman,duitsers,0.10730349877300295
edelman,expat,0.5279518124368741
edelman,expats,0.26223764903671626
edelman,immigrant,0.8273639892435122
edelman,immigranten,0.2928123870364725
edelman,irakees,0.6908113755823346
edelman,irakezen,0.22462271676831128
edelman,marokkaan,0.6673004548222254
edelman,marokkanen,0.14567648297923588
edelman,migrant,0.5980230753560742
edelman,migranten,0.137845907181133
edelman,moslim,0.4535907907634305
edelman,moslims,0.16677823724912916
edelman,nederlander,0.45750009016930837
edelman,nederlanders,0.08528141408853906
edelman,somalier,0.6870625606178882
edelman,somaliers,0.3645446134674415
edelman,surinamer,0.7526980065686437
edelman,surinamers,0.1948095864836914
edelman,syrier,0.6046310694233561
edelman,syriers,0.486071150471044
edelman,turk,0.7012861878449201
edelman,turken,0.11512490777757806
edelman,vluchteling,0.5486494856495772
