,,telegraaf
alcoholisten,afgaan,0.1299931501901407
alcoholisten,afghanen,0.46453606975811845
alcoholisten,allochtonen,0.46359701536605785
alcoholisten,allochtoon,0.4038117710258411
alcoholisten,antilliaan,0.27757350289239874
alcoholisten,antillianen,0.626743978315069
alcoholisten,arabier,0.463672119461565
alcoholisten,arabieren,0.4409635190267219
alcoholisten,belg,-0.14076567362198233
alcoholisten,belgen,0.18257344111036888
alcoholisten,christen,0.13112386185210298
alcoholisten,christenen,0.43901659224177775
alcoholisten,duitser,-0.10062637012928229
alcoholisten,duitsers,0.15414459838893574
alcoholisten,expat,0.5489770174185181
alcoholisten,expats,0.5962434810807543
alcoholisten,immigrant,0.37200608287660963
alcoholisten,immigranten,0.42864200337041336
alcoholisten,irakees,0.3795366104210855
alcoholisten,irakezen,0.37672760736677036
alcoholisten,marokkaan,0.23667670907805072
alcoholisten,marokkanen,0.5108388911667097
alcoholisten,migrant,0.34025383234705026
alcoholisten,migranten,0.44556228190836566
alcoholisten,moslim,0.24360153426308284
alcoholisten,moslims,0.3602666317153186
alcoholisten,nederlander,-0.04207947201451058
alcoholisten,nederlanders,0.28164890911427737
alcoholisten,somalier,0.37467353328217234
alcoholisten,somaliers,0.5512329307361583
alcoholisten,surinamer,0.323774101935579
alcoholisten,surinamers,0.5900613493743881
alcoholisten,syrier,0.41567190927761866
alcoholisten,syriers,0.6082692934605026
alcoholisten,turk,0.28878957867371297
alcoholisten,turken,0.296952521803693
alcoholisten,vluchteling,0.37991236952198837
alcoholisten,vluchtelingen,0.3829111423729519
alcoholisten,westers,0.22692442750891836
armoedig,afgaan,0.011080146590113662
armoedig,afghanen,0.040111512025112456
armoedig,allochtonen,-0.048692009441830386
armoedig,allochtoon,0.3525724246725761
armoedig,antilliaan,0.2802417502828167
armoedig,antillianen,0.12585832798290686
armoedig,arabier,0.5194235378947957
armoedig,arabieren,0.06464950551277905
armoedig,belg,0.1081082881318278
armoedig,belgen,0.015117722085784671
armoedig,christen,0.1613364618577161
armoedig,christenen,0.12931530722888673
armoedig,duitser,0.12677695398117944
armoedig,duitsers,0.02588863695168281
armoedig,expat,0.4041477218373102
armoedig,expats,-0.01067694716757988
armoedig,immigrant,0.2460040780284829
armoedig,immigranten,-0.13046361347923946
armoedig,irakees,0.3301178904684554
armoedig,irakezen,-0.08330515416436843
armoedig,marokkaan,0.18811800185226363
armoedig,marokkanen,0.038067176001743065
armoedig,migrant,0.22333949593562685
armoedig,migranten,-0.08506875218933786
armoedig,moslim,0.08320596999987862
armoedig,moslims,0.0020836207581066968
armoedig,nederlander,0.032318383269358444
armoedig,nederlanders,-0.0595061664614132
armoedig,somalier,0.3909593806332696
armoedig,somaliers,0.5027530549939003
armoedig,surinamer,0.3654290011356833
armoedig,surinamers,0.18968101534445653
armoedig,syrier,0.37524265369836063
armoedig,syriers,0.38219432664593483
armoedig,turk,0.2708927488002004
armoedig,turken,0.009471095416381012
armoedig,vluchteling,0.23153180635091752
armoedig,vluchtelingen,-0.09285683843818397
armoedig,westers,0.6142160217614654
barbaars,afgaan,-0.09680652609785671
barbaars,afghanen,0.3003209332917033
barbaars,allochtonen,0.17293434758144202
barbaars,allochtoon,0.4201010312015955
barbaars,antilliaan,0.3922372382351589
barbaars,antillianen,0.3148002152999114
barbaars,arabier,0.566837774892017
barbaars,arabieren,0.29602234218769363
barbaars,belg,-0.010221930341213138
barbaars,belgen,-0.009360879591141288
barbaars,christen,0.33085048744016726
barbaars,christenen,0.42041333491022614
barbaars,duitser,0.04929943531610399
barbaars,duitsers,0.027477254042271977
barbaars,expat,0.5093217614009151
barbaars,expats,0.17109103780142135
barbaars,immigrant,0.3943342565024367
barbaars,immigranten,0.1463736535924064
barbaars,irakees,0.531817192955337
barbaars,irakezen,0.18580592292197834
barbaars,marokkaan,0.22226208572163966
barbaars,marokkanen,0.15240283592222953
barbaars,migrant,0.44494276804054245
barbaars,migranten,0.16516290875936995
barbaars,moslim,0.37877147144864176
barbaars,moslims,0.3153725552725854
barbaars,nederlander,-0.0031254907515124095
barbaars,nederlanders,0.05806736736249185
barbaars,somalier,0.5457087108869914
barbaars,somaliers,0.5948529814480434
barbaars,surinamer,0.47215746830223765
barbaars,surinamers,0.3205627944547677
barbaars,syrier,0.5566845278424243
barbaars,syriers,0.6166764793600926
barbaars,turk,0.3145178495943205
barbaars,turken,0.14269111652331962
barbaars,vluchteling,0.40887890398307947
barbaars,vluchtelingen,0.12289448656668797
barbaars,westers,0.5886806182465201
dakloze,afgaan,-0.0707188724048835
dakloze,afghanen,0.15245814561265858
dakloze,allochtonen,0.04117919919826239
dakloze,allochtoon,0.3727286213970251
dakloze,antilliaan,0.6665425754554894
dakloze,antillianen,0.2993309113925291
dakloze,arabier,0.6064143816814094
dakloze,arabieren,0.15144598717511476
dakloze,belg,0.25541364977882264
dakloze,belgen,-0.044280670623442486
dakloze,christen,0.0691873765513675
dakloze,christenen,0.2338183402459866
dakloze,duitser,0.344237395231227
dakloze,duitsers,0.039797024733613906
dakloze,expat,0.4262608494357022
dakloze,expats,0.15289393197129536
dakloze,immigrant,0.6417249903764128
dakloze,immigranten,0.21736044160249918
dakloze,irakees,0.7532815402125219
dakloze,irakezen,0.28765595645568603
dakloze,marokkaan,0.6945700154209525
dakloze,marokkanen,0.27145778461623626
dakloze,migrant,0.47655550910715494
dakloze,migranten,0.07324754756770564
dakloze,moslim,0.39153550543548155
dakloze,moslims,0.1289590044830836
dakloze,nederlander,0.3341091923767653
dakloze,nederlanders,0.0925132966807905
dakloze,somalier,0.459195565238805
dakloze,somaliers,0.28814769216503117
dakloze,surinamer,0.7147690005771522
dakloze,surinamers,0.267265265453953
dakloze,syrier,0.4715507584499967
dakloze,syriers,0.36521659073980905
dakloze,turk,0.7066202463502556
dakloze,turken,0.08976253158964287
dakloze,vluchteling,0.49090954189199476
dakloze,vluchtelingen,0.14299507923690907
dakloze,westers,0.185736097079696
daklozen,afgaan,-0.004522586548887368
daklozen,afghanen,0.6669923175185435
daklozen,allochtonen,0.5849932860734337
daklozen,allochtoon,0.21701009940886057
daklozen,antilliaan,0.11239968132366845
daklozen,antillianen,0.5640041646999039
daklozen,arabier,0.2088043277285155
daklozen,arabieren,0.48115148286333476
daklozen,belg,-0.1913021036264685
daklozen,belgen,0.3376347229362414
daklozen,christen,-0.05007085830986718
daklozen,christenen,0.5626961919367159
daklozen,duitser,-0.15180575629090348
daklozen,duitsers,0.3296773490235998
daklozen,expat,0.2708988043598539
daklozen,expats,0.7087248167683804
daklozen,immigrant,0.26741937895264445
daklozen,immigranten,0.6474363929690612
daklozen,irakees,0.23670519359647588
daklozen,irakezen,0.6117942464256264
daklozen,marokkaan,0.23896142998182465
daklozen,marokkanen,0.6114846552810143
daklozen,migrant,0.2628410204705602
daklozen,migranten,0.644039842777602
daklozen,moslim,0.24016016816338326
daklozen,moslims,0.5553365379060028
daklozen,nederlander,0.03709816751690032
daklozen,nederlanders,0.5673065621410133
daklozen,somalier,0.08018595887673977
daklozen,somaliers,0.22861005947567248
daklozen,surinamer,0.1482827949921846
daklozen,surinamers,0.5431788899591812
daklozen,syrier,0.060296628116031314
daklozen,syriers,0.2840561992750696
daklozen,turk,0.15447946926070247
daklozen,turken,0.4798597268650386
daklozen,vluchteling,0.39082375358331584
daklozen,vluchtelingen,0.6991913215131516
daklozen,westers,0.014605797552345215
dienders,afgaan,0.20364073325090423
dienders,afghanen,0.7113452601812397
dienders,allochtonen,0.44537350466936515
dienders,allochtoon,0.03621826978769639
dienders,antilliaan,0.2859607693359768
dienders,antillianen,0.5097295523651424
dienders,arabier,0.2543465662455683
dienders,arabieren,0.523194782731616
dienders,belg,0.12538037979530858
dienders,belgen,0.5859748314882918
dienders,christen,0.08845272422728616
dienders,christenen,0.48476308679881047
dienders,duitser,0.17053658476018607
dienders,duitsers,0.5467882699727801
dienders,expat,0.116088747490134
dienders,expats,0.45758450714112997
dienders,immigrant,0.2242539089288747
dienders,immigranten,0.5740691103386613
dienders,irakees,0.3618766624533207
dienders,irakezen,0.7269511975884815
dienders,marokkaan,0.3640859198380538
dienders,marokkanen,0.5842075027905294
dienders,migrant,0.13445728548455022
dienders,migranten,0.5127303752764661
dienders,moslim,0.21739422977411788
dienders,moslims,0.5354755463978667
dienders,nederlander,0.18779279836271276
dienders,nederlanders,0.5936105618163079
dienders,somalier,0.18430655410640842
dienders,somaliers,0.2133154870187738
dienders,surinamer,0.2442111500621213
dienders,surinamers,0.48579910943644816
dienders,syrier,0.16595940653351843
dienders,syriers,0.28116618113299185
dienders,turk,0.26619343106079374
dienders,turken,0.6029662397581701
dienders,vluchteling,0.21627298039113985
dienders,vluchtelingen,0.5560222466196453
dienders,westers,-0.11298841986743087
drugsverslaafde,afgaan,0.05009177539460882
drugsverslaafde,afghanen,0.11712963395046239
drugsverslaafde,allochtonen,-0.03201500916383147
drugsverslaafde,allochtoon,0.3470774303918513
drugsverslaafde,antilliaan,0.718596852264446
drugsverslaafde,antillianen,0.22831217095142597
drugsverslaafde,arabier,0.7177375678506086
drugsverslaafde,arabieren,0.11777109627557827
drugsverslaafde,belg,0.31309573134945157
drugsverslaafde,belgen,-0.0846365500985329
drugsverslaafde,christen,0.10756131893503038
drugsverslaafde,christenen,0.16346644469722202
drugsverslaafde,duitser,0.40227085377493443
drugsverslaafde,duitsers,-0.01758202457526447
drugsverslaafde,expat,0.4923074783587077
drugsverslaafde,expats,0.08706524861597056
drugsverslaafde,immigrant,0.6221826630517959
drugsverslaafde,immigranten,0.11148251315589187
drugsverslaafde,irakees,0.7886084301352347
drugsverslaafde,irakezen,0.20925372002925302
drugsverslaafde,marokkaan,0.633257863897316
drugsverslaafde,marokkanen,0.19259820298314215
drugsverslaafde,migrant,0.5400670183695465
drugsverslaafde,migranten,-0.01212315957117087
drugsverslaafde,moslim,0.36756157308229964
drugsverslaafde,moslims,0.05577305740451551
drugsverslaafde,nederlander,0.2694619702021709
drugsverslaafde,nederlanders,0.0051483922362345995
drugsverslaafde,somalier,0.6339781998795145
drugsverslaafde,somaliers,0.43850104289063807
drugsverslaafde,surinamer,0.7767122888699518
drugsverslaafde,surinamers,0.2038971644975822
drugsverslaafde,syrier,0.6618360181037936
drugsverslaafde,syriers,0.5385407016336581
drugsverslaafde,turk,0.7388370371575916
drugsverslaafde,turken,-0.000719991788738536
drugsverslaafde,vluchteling,0.46336423555976464
drugsverslaafde,vluchtelingen,0.03259895227384289
drugsverslaafde,westers,0.19355193783796532
drugsverslaafden,afgaan,0.11521340169291698
drugsverslaafden,afghanen,0.6092613599544308
drugsverslaafden,allochtonen,0.5398839921432639
drugsverslaafden,allochtoon,0.37302021849173134
drugsverslaafden,antilliaan,0.26955002900555947
drugsverslaafden,antillianen,0.6778878060251339
drugsverslaafden,arabier,0.3615218715216361
drugsverslaafden,arabieren,0.48593722456271415
drugsverslaafden,belg,-0.1961519036762531
drugsverslaafden,belgen,0.16548043120039385
drugsverslaafden,christen,0.0881716138036244
drugsverslaafden,christenen,0.5622332502900997
drugsverslaafden,duitser,-0.1182394131497031
drugsverslaafden,duitsers,0.16773115206927813
drugsverslaafden,expat,0.4491489729043652
drugsverslaafden,expats,0.6441475869714665
drugsverslaafden,immigrant,0.3513025534902459
drugsverslaafden,immigranten,0.5528455617042487
drugsverslaafden,irakees,0.4280467641678195
drugsverslaafden,irakezen,0.5348944987904558
