,,telegraaf
aanhangers,afgaan,-0.06126117042522453
aanhangers,afghanen,0.6742561319549794
aanhangers,allochtonen,0.44548796020780185
aanhangers,allochtoon,0.12873108592159732
aanhangers,antilliaan,0.3471348440869115
aanhangers,antillianen,0.5187721387452598
aanhangers,arabier,0.2585529909453552
aanhangers,arabieren,0.734992127996257
aanhangers,burger,0.23028885964403725
aanhangers,burgers,0.5603645774842748
aanhangers,expat,0.007182941245869278
aanhangers,expats,0.4391231579320185
aanhangers,immigrant,0.300174517034521
aanhangers,immigranten,0.6635279283941375
aanhangers,irakees,0.3176520077892286
aanhangers,irakezen,0.745420344321313
aanhangers,marokkaan,0.3041100331988607
aanhangers,marokkanen,0.6146744942707474
aanhangers,migrant,0.1602160289408706
aanhangers,migranten,0.5810765475689587
aanhangers,moslim,0.5016266639729101
aanhangers,moslims,0.7442409796046778
aanhangers,nederlander,0.13178838670671938
aanhangers,nederlanders,0.5093561342256132
aanhangers,somalier,0.23613094103387566
aanhangers,somaliers,0.17900491051303827
aanhangers,surinamer,0.22495948964613932
aanhangers,surinamers,0.523915541780238
aanhangers,syrier,0.32867899084619323
aanhangers,syriers,0.2913697936126615
aanhangers,turk,0.32877316913254284
aanhangers,turken,0.7124900245600716
aanhangers,westers,0.03712790695579337
afperser,afgaan,0.032616141879104214
afperser,afghanen,0.25959225087335436
afperser,allochtonen,0.0591718074033687
afperser,allochtoon,0.3591838326530673
afperser,antilliaan,0.7193806168291771
afperser,antillianen,0.31712189847431704
afperser,arabier,0.6904709081396805
afperser,arabieren,0.2305144647329712
afperser,burger,0.3261631609369601
afperser,burgers,0.14569514101161254
afperser,expat,0.5227376352677037
afperser,expats,0.1995392168316804
afperser,immigrant,0.622610399907421
afperser,immigranten,0.19596447576107734
afperser,irakees,0.6988006539263504
afperser,irakezen,0.27966846201997436
afperser,marokkaan,0.6836201071704102
afperser,marokkanen,0.2698044483964872
afperser,migrant,0.5257685507599805
afperser,migranten,0.09358096871356493
afperser,moslim,0.4563689565733383
afperser,moslims,0.18124801290519832
afperser,nederlander,0.407426817671913
afperser,nederlanders,0.11272516218818537
afperser,somalier,0.6837780440821976
afperser,somaliers,0.41970636802216466
afperser,surinamer,0.743210437785974
afperser,surinamers,0.25043478502153677
afperser,syrier,0.6825586631808515
afperser,syriers,0.500891884703236
afperser,turk,0.7224287785604195
afperser,turken,0.16727444258415586
afperser,westers,0.20847334787361682
agente,afgaan,0.06314708733334735
agente,afghanen,0.15141277242554407
agente,allochtonen,-0.07164590552377664
agente,allochtoon,0.21441772320977845
agente,antilliaan,0.7326975367958619
agente,antillianen,0.19700165038904516
agente,arabier,0.6105048070909873
agente,arabieren,0.08064073089942154
agente,burger,0.3839114656497396
agente,burgers,0.14761283230311903
agente,expat,0.3443102080538235
agente,expats,-0.032450281145239
agente,immigrant,0.6136973698790473
agente,immigranten,0.15212646305810915
agente,irakees,0.7822245937450775
agente,irakezen,0.2969176023586944
agente,marokkaan,0.7352036049016527
agente,marokkanen,0.1968634152932487
agente,migrant,0.4579498733875457
agente,migranten,-0.0500689400005529
agente,moslim,0.4574552262929954
agente,moslims,0.13840370821213466
agente,nederlander,0.4103441245686292
agente,nederlanders,0.03630155256752119
agente,somalier,0.5353953231814734
agente,somaliers,0.24365702637259248
agente,surinamer,0.7100039762913599
agente,surinamers,0.11991910784987193
agente,syrier,0.5414763984805823
agente,syriers,0.36006096404384547
agente,turk,0.7357063938813158
agente,turken,0.0914095779272492
agente,westers,0.14494472159036925
alcoholiste,afgaan,-0.023708104428275513
alcoholiste,afghanen,0.12045895036327488
alcoholiste,allochtonen,-0.05014134287068505
alcoholiste,allochtoon,0.29934908420912054
alcoholiste,antilliaan,0.60528757483976
alcoholiste,antillianen,0.23173537600914354
alcoholiste,arabier,0.6973439291188563
alcoholiste,arabieren,0.10108831130483015
alcoholiste,burger,-0.02006045914892031
alcoholiste,burgers,-0.07534712756469238
alcoholiste,expat,0.6323894833776502
alcoholiste,expats,0.16632141404840728
alcoholiste,immigrant,0.5417782042932872
alcoholiste,immigranten,0.06201291660997212
alcoholiste,irakees,0.6788638030553268
alcoholiste,irakezen,0.1330096323268491
alcoholiste,marokkaan,0.3997015155602225
alcoholiste,marokkanen,0.07371077306560851
alcoholiste,migrant,0.5290501302773959
alcoholiste,migranten,0.04382091041188938
alcoholiste,moslim,0.21650458892709246
alcoholiste,moslims,0.005722231604744218
alcoholiste,nederlander,0.16121691413674472
alcoholiste,nederlanders,0.013010163124585703
alcoholiste,somalier,0.734695159054172
alcoholiste,somaliers,0.7057475442547545
alcoholiste,surinamer,0.7041717885685072
alcoholiste,surinamers,0.2406149620185849
alcoholiste,syrier,0.7475675060841861
alcoholiste,syriers,0.7336088741133808
alcoholiste,turk,0.5070587836889142
alcoholiste,turken,-0.010205356318431759
alcoholiste,westers,0.31152103350429167
alcoholisten,afgaan,0.1299931501901407
alcoholisten,afghanen,0.46453606975811845
alcoholisten,allochtonen,0.46359701536605785
alcoholisten,allochtoon,0.4038117710258411
alcoholisten,antilliaan,0.27757350289239874
alcoholisten,antillianen,0.626743978315069
alcoholisten,arabier,0.463672119461565
alcoholisten,arabieren,0.4409635190267219
alcoholisten,burger,0.14793459421231353
alcoholisten,burgers,0.3555917883162242
alcoholisten,expat,0.5489770174185181
alcoholisten,expats,0.5962434810807543
alcoholisten,immigrant,0.3720060828766097
alcoholisten,immigranten,0.4286420033704133
